s_id,eng,viet,topic_name
1203,Tom didn't shoot anybody,Tom không bắn ai,News & Social Concern
1204,You two make a nice couple.,Hai bạn làm một cặp đôi tốt đẹp .,Diaries & Daily Life
1205,That is my sister.,Đó là em gái tôi .,Family
1206,Tom should've listened to Mary.,Tom nên nghe mary .,Music
1207,Tom stays with us.,Tom ở lại với chúng tôi .,Celebrity & Pop Culture
1208,I got a hole in my jeans,Tôi có một lỗ trên quần jean của tôi,Diaries & Daily Life
1209,I am not coming today,Hôm nay tôi không đến,Diaries & Daily Life
1210,The vacation is close to an end.,Kỳ nghỉ đã gần kết thúc,Travel & Adventure
1211,Are you on the list?,Bạn có trong danh sách không ?,News & Social Concern
1212,Tom is determined.,Tom được xác định .,Sports
1213,What were you fired for?,Bạn bị sa thải vì điều gì ?,News & Social Concern
1214,There are no special rules about what clothes we have to wear.,Không có quy tắc đặc biệt về những gì chúng ta phải mặc quần áo .,Fashion & Style
1215,I'm not interested in anything Tom has to say.,Tôi không quan tâm đến bất cứ điều gì tom phải nói .,Diaries & Daily Life
1216,He has earned a lot of money.,Anh ấy đã kiếm được rất nhiều tiền .,Business & Entrepreneurs
1217,Tom lost his house key,Tom mất chìa khóa nhà,Diaries & Daily Life
1218,I was off duty at that time.,Tôi đã nghỉ việc lúc đó,Diaries & Daily Life
1219,I'm used to sleeping in a tent.,Tôi đã quen ngủ trong lều .,Diaries & Daily Life
1220,Not a single person arrived late,Không một người nào đến muộn,Diaries & Daily Life
1221,I won't say anything to Tom about this.,Tôi sẽ không nói bất cứ điều gì với tom về điều này .,Diaries & Daily Life
1222,What's your favorite day?,Ngày yêu thích của bạn là gì ?,Diaries & Daily Life
1223,My father will help me.,Bố tôi sẽ giúp tôi .,Diaries & Daily Life
1224,This button is loose.,Nút này bị lỏng .,Diaries & Daily Life
1225,Are you as excited as we are?,Bạn có hào hứng như chúng tôi không ?,Diaries & Daily Life
1226,Tom often stays out late.,Tom thường thức khuya .,Diaries & Daily Life
1227,Tom died of cancer.,Tom chết vì ung thư .,News & Social Concern
1228,She doesn't actually live in Deal.,Cô ấy không thực sự sống trong thỏa thuận .,News & Social Concern
1229,Tom applauded.,Tom vỗ tay .,News & Social Concern
1230,Tom usually calls Mary every evening after dinner.,Tom thường gọi mary mỗi tối sau bữa tối .,Food & Dining
1231,"This figure is supposed to represent Marilyn Monroe, but I don't think it does her justice","Con số này được cho là đại diện cho marilyn monroe , nhưng tôi không nghĩ rằng đó là công lý của cô ấy",Celebrity & Pop Culture
1232,Can you tell me who they are?,Bạn có thể cho tôi biết họ là ai ?,Diaries & Daily Life
1233,"Not only did he refuse to help me, but also he scolded me.",Anh ta không chỉ từ chối giúp đỡ tôi mà còn mắng tôi .,Diaries & Daily Life
1234,Tom said that it probably wouldn't take too much time.,Tom nói rằng nó có thể sẽ không mất quá nhiều thời gian .,Diaries & Daily Life
1235,Tom said you were good,Tom nói bạn tốt,Diaries & Daily Life
1236,Our committee consists of ten members,Ủy ban của chúng tôi bao gồm mười thành viên,News & Social Concern
1237,He failed the entrance exam.,Anh thi trượt,Learning & Educational
1238,It snowed yesterday.,Hôm qua tuyết rơi,Diaries & Daily Life
1239,Will your friends be seeing you off at the airport?,Bạn bè của bạn sẽ tiễn bạn tại sân bay ?,Diaries & Daily Life
1240,I ate a hasty lunch,Tôi đã ăn một bữa trưa vội vàng,Food & Dining
1241,Tom has an old felt hat he always wears in the rain,Tom có một chiếc mũ phớt cũ mà anh ấy luôn đội trong mưa,Fashion & Style
1242,Did they ever play in Italy?,Họ đã bao giờ chơi ở Ý chưa ?,Sports
1243,Tom has no interest in golf.,Tom không có hứng thú với golf .,Sports
1244,I tore a hole in my jeans when I fell off my bike.,Tôi đã xé một lỗ trên quần jean của tôi khi tôi ngã xe đạp .,Diaries & Daily Life
1245,I haven't found a way to stop Tom from doing that.,Tôi đã không tìm được cách ngăn tom làm điều đó .,Diaries & Daily Life
1246,The book is about the law.,Cuốn sách nói về luật pháp .,Learning & Educational
1247,I think you'll be pleasantly surprised.,Tôi nghĩ bạn sẽ ngạc nhiên,Diaries & Daily Life
1248,Tom couldn't get Mary to leave him alone,Tom không thể để mary để anh ta một mình,Diaries & Daily Life
1249,I couldn't eat fish when I was a child,Tôi không thể ăn cá khi còn nhỏ,Diaries & Daily Life
1250,"Tom and Mary paddled their canoe along the shoreline, looking of a place to camp.","Tom và mary chèo xuồng dọc theo bờ biển , tìm nơi cắm trại .",Travel & Adventure
1251,I'm not arguing with you.,Tôi không tranh luận với bạn .,Diaries & Daily Life
1252,The company deals in various goods.,Công ty kinh doanh hàng hóa khác nhau .,Business & Entrepreneurs
1253,Who gave Tom that recipe book?,Ai đã cho tom cuốn sách công thức đó ?,Food & Dining
1254,I am left with all the responsibility.,Tôi để lại tất cả trách nhiệm,Diaries & Daily Life
1255,Why don't you go play with Tom?,Tại sao bạn không đi chơi với tom ?,Diaries & Daily Life
1256,That's just what I was going to suggest.,Đó chỉ là những gì tôi sẽ đề nghị .,Diaries & Daily Life
1257,Tom doesn't even own a suit.,Tom thậm chí không sở hữu một bộ đồ .,Fashion & Style
1258,I appreciate what you've done for me.,Tôi đánh giá cao những gì bạn đã làm cho tôi .,Diaries & Daily Life
1259,"Without music, the world would be a boring place","Không có âm nhạc , thế giới sẽ là một nơi nhàm chán",Music
1260,I missed the point of the joke.,Tôi đã bỏ lỡ điểm của trò đùa,Diaries & Daily Life
1261,Tom seemed to enjoy himself at the party last night.,Tom dường như tận hưởng chính mình tại bữa tiệc tối qua .,Diaries & Daily Life
1262,Tom knew certain things about Mary that she hoped he wouldn't tell John.,Tom biết một số điều về mary mà cô hy vọng anh sẽ không nói với john .,Diaries & Daily Life
1263,I've forgotten your name,Tôi đã quên tên bạn,Diaries & Daily Life
1264,She denied that she had stolen anything.,Cô phủ nhận rằng mình đã đánh cắp bất cứ thứ gì .,Diaries & Daily Life
1265,Turn down the stereo.,Tắt âm thanh nổi .,Music
1266,Tom loves being outdoors.,Tom thích ở ngoài trời .,Diaries & Daily Life
1267,Tom doesn't have to tell Mary if he doesn't want to,Tom không cần phải nói với mary nếu anh ta không muốn,Diaries & Daily Life
1268,I asked him to drive me home.,Tôi yêu cầu anh ta chở tôi về nhà .,Diaries & Daily Life
1269,You're three centimeters taller than me,Bạn cao hơn tôi ba centimet,Diaries & Daily Life
1270,I saw your father,Tôi đã thấy cha của bạn,Family
1271,The teacher dismissed his class when the bell rang.,Cô giáo nghỉ học khi chuông reo .,Learning & Educational
1272,This coffee is too hot for me to drink,Cà phê này quá nóng để tôi uống,Food & Dining
1273,Many Americans blamed Spain,Nhiều người Mỹ đổ lỗi cho Tây ban nha,News & Social Concern
1274,This will have to do for lunch,Cái này sẽ phải làm cho bữa trưa,Food & Dining
1275,Prices have reached a new high.,Giá đã đạt đến một mức cao mới .,Business & Entrepreneurs
1276,It's October the third,Đó là tháng mười,Diaries & Daily Life
1277,"If he had worked harder, he could have succeeded","Nếu anh ấy làm việc chăm chỉ hơn , anh ấy có thể đã thành công",Diaries & Daily Life
1278,"As I told you earlier, I can't help you","Như tôi đã nói với bạn trước đó , tôi không thể giúp bạn",Diaries & Daily Life
1279,I'd like to go through just one day without being told I need to grow up,Tôi muốn trải qua chỉ một ngày mà không được nói rằng tôi cần phải lớn lên,Diaries & Daily Life
1280,Tom watches Mary.,Đồng hồ tom mary .,Film Tv & Video
1281,No boy in the class is taller than Bill.,Không có cậu bé nào trong lớp cao hơn hóa đơn .,Diaries & Daily Life
1282,I don't know why he's crying.,Tôi không biết tại sao anh ấy khóc .,Diaries & Daily Life
1283,His identity must be kept secret.,Danh tính của anh ta phải được giữ bí mật .,News & Social Concern
1284,"Not only his son, but his daughter is famous as well.","Không chỉ con trai ông , mà con gái ông cũng nổi tiếng .",Celebrity & Pop Culture
1285,He's a little rusty,Anh ấy hơi gỉ,Sports
1286,Where did you see the woman?,Bạn đã thấy người phụ nữ ở đâu,Diaries & Daily Life
1287,Federal negotiators reached a compromise,Các nhà đàm phán liên bang đạt được một thỏa hiệp,News & Social Concern
1288,Tom will succeed.,Tom sẽ thành công,Sports
1289,Give us a ride downtown,Cho chúng tôi một chuyến đi trung tâm thành phố,Diaries & Daily Life
1290,Tom noticed what was going on,Tom nhận thấy những gì đang xảy ra,Diaries & Daily Life
1291,How old is Tom now?,Bây giờ bao nhiêu tuổi,Celebrity & Pop Culture
1292,I didn't think you'd be in today,Tôi không nghĩ bạn sẽ có mặt hôm nay,Diaries & Daily Life
1293,Tom shot the dog that attacked Mary,Tom bắn con chó tấn công mary,News & Social Concern
1294,Tom told me a lot about you,Tom nói với tôi rất nhiều về bạn,Diaries & Daily Life
1295,She went to the hospital by taxi,Cô ấy đã đến bệnh viện bằng taxi,News & Social Concern
1296,The president was sure there would be war,Tổng thống chắc chắn sẽ có chiến tranh,News & Social Concern
1297,Tom is chewing bubble gum.,Tom đang nhai kẹo cao su bong bóng .,Diaries & Daily Life
1298,My grandmother likes traveling by train,Bà tôi thích đi du lịch bằng tàu hỏa,Travel & Adventure
1299,He was discharged from the army.,Ông đã được xuất ngũ .,News & Social Concern
1300,I'm going to go get Tom now,Tôi sẽ đi lấy tom ngay,Diaries & Daily Life
1301,"Could you turn that down, please?",Bạn có thể từ chối nó không ?,Diaries & Daily Life
1302,"Don't open this door, please",Xin đừng mở cánh cửa này,Diaries & Daily Life
1303,Tom wants to become rich,Tom muốn trở nên giàu có,Celebrity & Pop Culture
1304,He is able to swim very fast,Anh ấy có thể bơi rất nhanh,Diaries & Daily Life
1305,Tom wants to be married to Mary,Tom muốn kết hôn với mary,Relationships
1306,The worst thing about summer is the heat.,Điều tồi tệ nhất của mùa hè là sức nóng .,Diaries & Daily Life
1307,My brother can drive a car,Anh tôi có thể lái xe hơi,Diaries & Daily Life
1308,Hurry up! The concert is starting.,Nhanh lên ! buổi hòa nhạc đang bắt đầu,Music
1309,Tom walked down the street.,Tom bước xuống phố .,Diaries & Daily Life
1310,"Unless it rains in Ethiopia soon, there could be severe drought problems.","Trừ khi trời mưa sớm , có thể có những vấn đề hạn hán nghiêm trọng .",News & Social Concern
1311,Tom's face is red,Mặt tom đỏ,Celebrity & Pop Culture
1312,Why should you suspect me?,Tại sao bạn nên nghi ngờ tôi,Diaries & Daily Life
1313,Tom rents rooms to students,Tom thuê phòng cho sinh viên,Learning & Educational
1314,I was coughing,Tôi đã ho,Diaries & Daily Life
1315,I've got better things to do with my free time.,Tôi đã có những điều tốt hơn để làm với thời gian rảnh của mình .,Diaries & Daily Life
1316,A person giving a speech should stand where everyone can see him,Một người đang phát biểu nên đứng nơi mọi người có thể nhìn thấy anh ta,News & Social Concern
1317,Tom is a man you can rely on.,Tom là một người đàn ông bạn có thể dựa vào .,Diaries & Daily Life
1318,The trouble is that I can't remember where I parked the car.,Rắc rối là tôi không thể nhớ nơi tôi đã đỗ xe .,Diaries & Daily Life
1319,I'm a bit drunk. I think I should stop drinking now,Tôi hơi say tôi nghĩ tôi nên ngừng uống,Diaries & Daily Life
1320,She can't have known about it.,Cô ấy không thể biết về nó .,Diaries & Daily Life
1321,How can I get a hold of Tom?,Làm thế nào tôi có thể có được một tom ?,Diaries & Daily Life
1322,Did Tom mention anything to you about my idea?,Tom có đề cập gì đến bạn về ý tưởng của tôi không ?,Diaries & Daily Life
1323,Tom wrote Mary a letter and thanked her for her help,Tom đã viết cho mary một lá thư và cảm ơn sự giúp đỡ của cô ấy,Diaries & Daily Life
1324,"What I need is not money, but your advice","Thứ tôi cần không phải là tiền , mà là lời khuyên của bạn",Diaries & Daily Life
1325,Where did you get your camera repaired?,Bạn đã sửa chữa máy ảnh ở đâu ?,Diaries & Daily Life
1326,"You didn't touch it, did you?","Bạn đã không chạm vào nó , phải không ?",Diaries & Daily Life
1327,You can download the instruction manual for the heat exchanger here,Bạn có thể tải về hướng dẫn sử dụng cho bộ trao đổi nhiệt tại đây,Science & Technology
1328,His father is a physicist,Cha anh là một nhà vật lý,Learning & Educational
1329,I'm just shocked,Tôi chỉ bị sốc,Diaries & Daily Life
1330,Japan is weird.,Nhật bản thật kỳ lạ .,Travel & Adventure
1331,She has lived alone ever since her husband died.,Cô đã sống một mình kể từ khi chồng cô qua đời .,Diaries & Daily Life
1332,I never could figure out why Tom didn't like me,Tôi không bao giờ có thể hiểu tại sao tom không thích tôi,Diaries & Daily Life
1333,He was a forceful leader.,Ông là một nhà lãnh đạo mạnh mẽ,News & Social Concern
1334,There's a bottle of white wine in the refrigerator,Có một chai rượu vang trắng trong tủ lạnh,Food & Dining
1335,Tom doesn't understand me the way you do.,Tom không hiểu tôi theo cách bạn làm .,Diaries & Daily Life
1336,I've learned by experience that this is the best way.,Tôi đã học được bằng kinh nghiệm rằng đây là cách tốt nhất .,Diaries & Daily Life
1337,This clasp won't fasten.,Clasp này sẽ không nhanh chóng .,Diaries & Daily Life
1338,The letter was correctly addressed.,Bức thư đã được giải quyết chính xác .,Diaries & Daily Life
1339,How old are you?,Bạn bao nhiêu tuổi ?,Diaries & Daily Life
1340,That magazine is aimed at teenagers.,Tạp chí đó là dành cho thanh thiếu niên .,News & Social Concern
1341,I'm looking forward to seeing you in a wedding dress.,Tôi rất mong được gặp bạn trong chiếc váy cưới .,Fashion & Style
1342,This is very difficult.,Nó rất khó .,Diaries & Daily Life
1343,Rumor has it that Tom and Mary are going to be married soon,Có tin đồn rằng tom và mary sẽ sớm kết hôn,Relationships
1344,That guy has a screw loose!,Thằng đó có cái đinh vít lỏng lẻo !,News & Social Concern
1345,I think it's time for me to make some new friends,Tôi nghĩ rằng đã đến lúc tôi phải kết bạn,Diaries & Daily Life
1346,The bottle smashed to pieces.,Cái chai vỡ tan thành từng mảnh .,Diaries & Daily Life
1347,I study English and Japanese.,Tôi học tiếng anh và tiếng nhật,Learning & Educational
1348,I have hopes of doing well in that business,Tôi có hy vọng làm tốt công việc đó,Business & Entrepreneurs
1349,Tom wasn't celebrating,Tom đã không ăn mừng,Diaries & Daily Life
1350,What time do you go to the beach?,Mấy giờ bạn đi biển,Travel & Adventure
1351,"If I could, I would.","Nếu tôi có thể , tôi sẽ .",Diaries & Daily Life
1352,All men are created equal,Tất cả mọi người được tạo ra như nhau,Diaries & Daily Life
1353,"It's the story of a boy, a girl, and a cat.","Đó là câu chuyện về một cậu bé , một cô gái và một con mèo .",Diaries & Daily Life
1354,Tom is able to walk on his hands.,Tom có thể đi trên tay của mình .,Diaries & Daily Life
1355,He has not eaten a decent meal in a long time.,Anh ấy đã không ăn một bữa ăn ngon trong một thời gian dài .,Food & Dining
1356,I like your hat,Tôi thích chiếc mũ của bạn,Fashion & Style
1357,"""How soon will the bus come?"" ""In five minutes.""",""" xe buýt sẽ đến sớm như thế nào ? "" "" trong năm phút . """,Diaries & Daily Life
1358,My uncle was the only person injured in the car accident.,Chú tôi là người duy nhất bị thương trong vụ tai nạn xe hơi .,News & Social Concern
1359,He got into bed,Anh ấy đã lên giường,Diaries & Daily Life
1360,She fumbled with the glasses as she brought them in,Cô ấy dò dẫm với cặp kính khi mang chúng vào,Diaries & Daily Life
1361,Do you have enough time?,Bạn có đủ thời gian không,Diaries & Daily Life
1362,The house collapsed in an earthquake.,Ngôi nhà sụp đổ trong một trận động đất .,News & Social Concern
1363,It was so noisy in there,Ở đó rất ồn ào,Diaries & Daily Life
1364,It's likely Tom will be late.,Có khả năng tom sẽ bị trễ .,News & Social Concern
1365,Don't you realize what Tom is doing?,Bạn không nhận ra tom đang làm gì sao ?,Diaries & Daily Life
1366,"Compared to basketball, baseball might be considered a little slow and boring","So với bóng rổ , bóng chày có thể được coi là hơi chậm và nhàm chán",Sports
1367,There are a lot of dustballs under the couch,Có rất nhiều bóng bụi dưới chiếc ghế dài,News & Social Concern
1368,He breathed deeply before entering his boss's office,Anh thở sâu trước khi vào văn phòng của sếp,News & Social Concern
1369,I didn't have enough time to finish my presentation.,Tôi không có đủ thời gian để hoàn thành bài thuyết trình của mình .,Diaries & Daily Life
1370,We'll have to do this later,Chúng ta sẽ phải làm điều này sau,Diaries & Daily Life
1371,He's a well-known television personality,Anh ấy là một nhân vật truyền hình nổi tiếng,Film Tv & Video
1372,You don't want to be lazy,Bạn không muốn lười biếng,Diaries & Daily Life
1373,Tom bought a new winter coat,Tom mua áo khoác mùa đông mới,Fashion & Style
1374,I had a bad day today.,Tôi đã có một ngày tồi tệ ngày hôm nay .,Diaries & Daily Life
1375,I think we should do something stupid.,Tôi nghĩ chúng ta nên làm điều gì đó ngu ngốc .,Diaries & Daily Life
1376,What's going to happen to me?,Chuyện gì sẽ xảy ra với tôi,Diaries & Daily Life
1377,Who questioned you?,Ai đã hỏi bạn,News & Social Concern
1378,Tom pulled out his notebook and pencil,Tom rút quyển sổ tay và bút chì ra,Diaries & Daily Life
1379,"Just a few days ago, we were so happy.","Chỉ vài ngày trước , chúng tôi đã rất hạnh phúc .",Diaries & Daily Life
1380,Please call me at about 7:30.,Vui lòng gọi cho tôi vào khoảng 7 : 30,Diaries & Daily Life
1381,Tom certainly is smart,Tom chắc chắn là thông minh,News & Social Concern
1382,It makes no difference to me whether he likes baseball or football,Nó không có gì khác biệt với tôi dù anh ấy thích bóng chày hay bóng đá,Sports
1383,Thanks for warning me,Cảm ơn đã cảnh báo tôi,Diaries & Daily Life
1384,I heard you enjoy going to the beach.,Tôi nghe nói bạn thích đi biển,Diaries & Daily Life
1385,They asked his brother to help them with their homework,Họ nhờ anh trai giúp họ làm bài tập về nhà,Learning & Educational
1386,Didn't anybody follow you?,Có ai theo dõi bạn không ?,Diaries & Daily Life
1387,How long does it take to get to your office from the port?,Mất bao lâu để đến văn phòng của bạn từ cảng ?,Diaries & Daily Life
1388,Who's your favorite female rapper?,Ai là rapper nữ yêu thích của bạn ?,Music
1389,May I turn down the TV?,Tôi có thể tắt tv không ?,Diaries & Daily Life
1390,The top U.s. export to China was soybeans,Đầu trang xuất khẩu sang Trung quốc là đậu nành,Business & Entrepreneurs
1391,We had known him for five years when he died.,Chúng tôi đã biết anh ta trong năm năm khi anh ta chết .,Diaries & Daily Life
1392,We are anticipating receiving a gift from our uncle,Chúng tôi đang mong nhận được một món quà từ chú của chúng tôi,Family
1393,Tom has never exhibited any violent tendencies.,Tom chưa bao giờ thể hiện bất kỳ xu hướng bạo lực .,News & Social Concern
1394,The bus jolted over the rough road.,Chiếc xe buýt chen lấn trên con đường gồ ghề .,News & Social Concern
1395,She's my daughter,Cô ấy là con gái của tôi,Diaries & Daily Life
1396,The tropical sun glared down relentlessly,Mặt trời nhiệt đới nhìn xuống không ngừng,News & Social Concern
1397,The situation is very serious.,Tình hình rất nghiêm trọng,News & Social Concern
1398,It doesn't really matter much anymore.,Nó không còn thực sự quan trọng nữa .,Diaries & Daily Life
1399,Are you sure you don't want one?,Bạn có chắc bạn không muốn một cái ?,Diaries & Daily Life
1400,The boy gathered a handful of peanuts and put them in a small box.,Cậu bé thu thập một nắm đậu phộng và bỏ chúng vào một hộp nhỏ .,Diaries & Daily Life
1401,The painting is deteriorating.,Bức tranh đang xấu đi,Arts & Culture
1402,My father died at the age of forty-nine.,Bố tôi mất ở tuổi bốn mươi chín .,Family
1403,Did you call him up yesterday?,Bạn đã gọi anh ấy lên ngày hôm qua ?,Diaries & Daily Life
1404,Doesn't that seem strange to you?,Điều đó có vẻ xa lạ với bạn không ?,Diaries & Daily Life
1405,The boy dreamed of going on an Antarctic expedition,Cậu bé mơ ước được đi thám hiểm Nam cực,Travel & Adventure
1406,Tom was born the same day as his cat,Tom được sinh ra cùng ngày với con mèo của anh ấy,Diaries & Daily Life
1407,The heavy rains caused the river to flood,Những cơn mưa lớn đã khiến dòng sông bị ngập lụt,News & Social Concern
1408,Tom was in jail.,Tom đã ở tù .,News & Social Concern
1409,She invited us to her birthday party,Cô ấy mời chúng tôi đến bữa tiệc sinh nhật của cô ấy,Diaries & Daily Life
1410,I need an envelope,Tôi cần một phong bì,Diaries & Daily Life
1411,He didn't respond to my question.,Anh ấy đã không trả lời câu hỏi của tôi .,Diaries & Daily Life
1412,She had the box carried downstairs,Cô ấy mang cái hộp ở dưới nhà,Diaries & Daily Life
1413,She did nothing all day but read,Cô ấy không làm gì cả ngày ngoài việc đọc,Diaries & Daily Life
1414,Personal computers are very useful.,Máy tính cá nhân rất hữu ích .,Science & Technology
1415,I'm always under stress.,Tôi luôn bị căng thẳng .,Diaries & Daily Life
1416,"If it were not for water, human life would be impossible","Nếu không phải vì nước , cuộc sống của con người là không thể",Diaries & Daily Life
1417,I have no objection to paying a special fee if it is necessary,Tôi không phản đối việc trả một khoản phí đặc biệt nếu cần thiết,Diaries & Daily Life
1418,It was the bad weather that caused his illness,Đó là thời tiết xấu gây ra bệnh của anh ấy,News & Social Concern
1419,She passed the examination with ease.,Cô ấy đã vượt qua kỳ thi một cách dễ dàng .,Learning & Educational
1420,Stay in your homes,Ở trong nhà của bạn,Diaries & Daily Life
1421,Mrs. Harris is very doubtful about her son's future,Bà . harris rất nghi ngờ về tương lai của con trai mình,News & Social Concern
1422,Who hasn't been there?,Ai đã không ở đó ?,Diaries & Daily Life
1423,The baby began to crawl,Em bé bắt đầu bò,Diaries & Daily Life
1424,Are you as tall as me?,Bạn có cao bằng tôi không ?,Diaries & Daily Life
1425,Tom put a piece candy into his mouth,Tom cho một miếng kẹo vào miệng,Diaries & Daily Life
1426,Tom told me he wouldn't take up much of our time,Tom nói với tôi anh ấy sẽ không chiếm nhiều thời gian của chúng tôi,Diaries & Daily Life
1427,She asked him for some money to buy a new dress,Cô ấy hỏi anh ta một số tiền để mua một chiếc váy mới,Fashion & Style
1428,Did you hear the news?,Bạn đã nghe những tin tức ?,News & Social Concern
1429,"In looking back, I feel deeply grateful to my parents","Nhìn lại , tôi thấy vô cùng biết ơn bố mẹ",Diaries & Daily Life
1430,The drunk driver damaged a tree,Người lái xe say rượu làm hỏng một cái cây,News & Social Concern
1431,I do remember the incident quite well,Tôi nhớ rất rõ vụ việc,Diaries & Daily Life
1432,Can you make an exception?,Bạn có thể làm một ngoại lệ ?,Diaries & Daily Life
1433,What are we up against?,Chúng ta đang chống lại cái gì,Sports
1434,He is a DJ.,Anh ấy là một dj,Music
1435,She seems to have found a boyfriend.,Cô ấy dường như đã tìm được bạn trai,Diaries & Daily Life
1436,I think about Tom a lot.,Tôi nghĩ về tom rất nhiều,Diaries & Daily Life
1437,Pizza is the kind of food that fits into today's life style.,Pizza là loại thực phẩm phù hợp với lối sống ngày nay .,Food & Dining
1438,Don't shoot him.,Đừng bắn anh ta .,News & Social Concern
1439,I was taking a shower then,Tôi đang tắm,Diaries & Daily Life
1440,I gave Tom a chance to work with me,Tôi đã cho tom cơ hội làm việc với tôi,Diaries & Daily Life
1441,The experience will do you good,Kinh nghiệm sẽ làm bạn tốt,Travel & Adventure
1442,I have to win,Tôi phải thắng,Sports
1443,"You're visiting a factory tomorrow, aren't you?",Bạn sẽ đến thăm một nhà máy vào ngày mai phải không ?,Business & Entrepreneurs
1444,My parents won't let me go out with boys.,Bố mẹ tôi sẽ không cho tôi đi chơi với con trai .,Diaries & Daily Life
1445,He is a big eater.,Anh ấy là một người ăn lớn .,Food & Dining
1446,What does your dad do?,Bố bạn làm nghề gì,Family
1447,You have no authority to tell me what to do.,Bạn không có thẩm quyền để cho tôi biết phải làm gì .,Diaries & Daily Life
1448,She made a delicious meal for him,Cô ấy làm một bữa ăn ngon cho anh ấy,Food & Dining
1449,The post office is down the street.,Bưu điện xuống phố .,Diaries & Daily Life
1450,I hold you responsible for this incident.,Tôi chịu trách nhiệm cho sự cố này,News & Social Concern
1451,We danced to the disco music,Chúng tôi nhảy theo điệu nhạc vũ trường,Music
1452,I just wanted someone who'd talk to me.,Tôi chỉ muốn ai đó nói chuyện với tôi .,Diaries & Daily Life
1453,I heard you got caught stealing something.,Tôi nghe nói bạn bị bắt gặp ăn cắp một cái gì đó .,News & Social Concern
1454,Life is so complicated.,Cuộc sống thật phức tạp .,Diaries & Daily Life
1455,The teacher scolded her class for being noisy,Cô giáo mắng cô vì ồn ào,Learning & Educational
1456,Tom tried to ignore the pain.,Tom cố gắng phớt lờ nỗi đau .,Diaries & Daily Life
1457,Let's do dinner tomorrow.,Hãy làm bữa tối ngày mai .,Food & Dining
1458,I thought Tom had left with Mary,Tôi nghĩ tom đã rời đi với mary,Diaries & Daily Life
1459,"Once the fighting starts, it won't be safe here","Một khi cuộc chiến bắt đầu , nó sẽ không an toàn ở đây",Sports
1460,Your advice has helped me see the light regarding my future,Lời khuyên của bạn đã giúp tôi nhìn thấy ánh sáng về tương lai của tôi,Diaries & Daily Life
1461,She keeps her hair long.,Cô ấy giữ mái tóc dài,Fashion & Style
1462,Tom doesn't go to the office on Saturday,Tom không đến văn phòng vào thứ bảy,Diaries & Daily Life
1463,I saw her taking a walk in the park at midnight.,Tôi thấy cô ấy đi dạo trong công viên lúc nửa đêm .,Diaries & Daily Life
1464,I heard you talking in your sleep last night,Tôi nghe thấy bạn nói chuyện trong giấc ngủ đêm qua,Diaries & Daily Life
1465,A new team was formed in order to take part in the race,Một đội mới được thành lập để tham gia cuộc đua,Sports
1466,He cuts down trees in the mountains,Anh ấy chặt cây trên núi,News & Social Concern
1467,Who could forget?,Ai có thể quên,Diaries & Daily Life
1468,I like these clothes more than I like those clothes,Tôi thích những bộ quần áo này hơn tôi thích những bộ quần áo đó,Fashion & Style
1469,She always wears black.,Cô ấy luôn mặc màu đen,Fashion & Style
1470,My teacher is Mrs. Li,Giáo viên của tôi là bà li,Diaries & Daily Life
1471,The gate is closed all the year round,Cổng đóng quanh năm,Diaries & Daily Life
1472,How many people do you think there'll be?,Bạn nghĩ sẽ có bao nhiêu người,Diaries & Daily Life
1473,Tom certainly convinced me that I should lose some weight.,Tom chắc chắn đã thuyết phục tôi rằng tôi nên giảm cân .,Diaries & Daily Life
1474,That has us concerned,Điều đó có liên quan,News & Social Concern
1475,We conducted our investigation with the greatest care,Chúng tôi đã tiến hành điều tra với sự quan tâm lớn nhất,Diaries & Daily Life
1476,Tom didn't keep his promise,Tom đã không giữ lời hứa,Sports
1477,How many people are out there?,Có bao nhiêu người ngoài đó,Diaries & Daily Life
1478,The defeat didn't dampen his spirits.,Sự thất bại đã không làm giảm tinh thần của anh ấy .,Sports
1479,Tom can't swim as well as Mary,Tom không biết bơi cũng như mary,Sports
1480,I've bought some clothes,Tôi đã mua một số quần áo,Fashion & Style
1481,You're supposed to be working,Bạn đang phải làm việc,Diaries & Daily Life
1482,You can have the rest of the fries,Bạn có thể có phần còn lại của khoai tây chiên,Food & Dining
1483,"Tom loved Mary, but she didn't love him back.","Tom yêu mary , nhưng cô không yêu anh ta trở lại .",Diaries & Daily Life
1484,Choose either of the two T-shirts.,Chọn một trong hai chiếc áo phông,Fashion & Style
1485,His departure means that there will be peace in the house,Sự ra đi của anh ấy có nghĩa là sẽ có hòa bình trong nhà,News & Social Concern
1486,Jim said that he wouldn't mind waiting for us,Jim nói rằng anh ấy sẽ không chờ đợi chúng tôi,Diaries & Daily Life
1487,Where is the ladies' room? I want to wash my hands,Phòng của phụ nữ ở đâu tôi muốn rửa tay,Diaries & Daily Life
1488,More and more people offered to help,Ngày càng có nhiều người đề nghị giúp đỡ,Diaries & Daily Life
1489,"Wherever you go, you see a lot of bicycles left on sidewalks near stations","Bất cứ nơi nào bạn đi , bạn thấy rất nhiều xe đạp còn lại trên vỉa hè gần nhà ga",News & Social Concern
1490,Tom fell asleep and missed the end of the movie.,Tom ngủ thiếp đi và bỏ lỡ phần cuối của bộ phim .,Film Tv & Video
1491,He showed it to me,Anh ấy đã cho tôi xem,Diaries & Daily Life
